This surface was created by:		
1)Scanning the Mckay 1969 Snowmelt tables from the original paper		
2)Digitizing the scanned immage into XYZ values		
3)interpolating a uniform 100x100 grid using TableCurve 3d 		
X = temperature in Celcius		
Y = julain day		
z= Snow melt potential in mm		
X_temp	 Y_Jday	Grid_pot
0	295.30753	0.00018837
0	298.9962776	0.00012163
0	302.6850251	0.00004885
0	306.3737726	0
0	310.0625201	0
0	313.7512677	0
0	317.4400152	0
0	321.1287627	0.00000001
0	324.8175102	0
0	328.5062577	0
0	332.1950053	0
0	335.8837528	0
0	339.5725003	0
0	343.2612478	0
0	346.9499954	0.00000001
0	350.6387429	0
0	354.3274904	0
0	358.0162379	0.00000001
0	361.7049854	0.00000013
0	365.393733	0
0.15712682	0.20772823	0.005044
0.15712682	3.89647576	0.00697772
0.15712682	7.58522328	0.00732087
0.15712682	11.2739708	0.00712711
0.15712682	14.96271832	0.00688935
0.15712682	18.65146585	0.00683973
0.15712682	22.34021337	0.00692768
0.15712682	26.02896089	0.00703122
0.15712682	29.71770841	0.00683222
0.15712682	33.40645594	0.00729519
0.15712682	37.09520346	0.00935097
0.15712682	40.78395098	0.00467989
0.15712682	44.4726985	0.00435603
0.15712682	48.16144603	0.00014972
0.15712682	51.85019355	0
0.15712682	55.53894107	0
0.15712682	59.22768859	0
0.15712682	62.91643612	0
0.15712682	66.60518364	0
0.15712682	70.29393116	0
0.15712682	73.98267868	0
0.15712682	77.67142621	0
0.15712682	81.36017373	0
0.15712682	85.04892125	0
0.15712682	88.73766877	0.03592082
0.15712682	92.4264163	0.12409936
0.15712682	96.11516382	0.23786166
0.15712682	99.80391134	0.35106452
0.15712682	103.4926589	0.46181809
0.15712682	107.1814064	0.58313456
0.15712682	110.8701539	0.71515543
0.15712682	114.5589014	0.83869517
0.15712682	118.247649	0.97051008
0.15712682	121.9363965	1.06500668
0.15712682	125.625144	1.1247099
0.15712682	129.3138915	1.16553373
0.15712682	133.0026391	1.18875314
0.15712682	136.6913866	1.1956431
0.15712682	140.3801341	1.19206808
0.15712682	144.0688816	1.18818778
0.15712682	147.7576291	1.18430941
0.15712682	151.4463767	1.18043279
